Date,Miles,Discount,Price,Gallons
9/3/2020,140769.6,$0.60 ,$24.25 ,17.979
9/19/2020,141016.3,$0.30 ,$24.25 ,17.979
10/4/2020,141334.6,$0.30 ,$26.57 ,19.697
10/21/2020,141611,$0.30 ,$26.95 ,19.978
11/3/2020,141818.2,$0.30 ,$18.92 ,14.568
11/20/2020,142125.3,$0.40 ,$23.62 ,20.034
12/4/2020,142384.4,$0.00 ,$10.00 ,5.559
12/7/2020,142487.4,$0.50 ,$20.71 ,17.419
12/17/2020,142749.7,$0.30 ,$27.17 ,18.371
12/28/2020,142999.6,$0.40 ,$21.70 ,14.979
1/9/2021,143206.6,$0.00 ,$20.00 ,10.005
1/16/2021,143391.8,$0.00 ,$38.57 ,17.863
2/6/2021,143668.4,$0.00 ,$34.89 ,16.861
4/10/2021,144168.3,$0.30 ,$36.67 ,17.555
4/21/2021,144329.4,$0.00 ,$29.81 ,11.557
5/7/2021,144515.4,$0.00 ,$29.00 ,11
5/22/2021,144847.1,$0.80 ,$32.62 ,16.912
6/1/2021,145070.7,$0.30 ,$34.38 ,14.763
6/12/2021,145272.3,$0.00 ,$41.68 ,15.617
6/26/2021,145483.3,$0.20 ,$44.80 ,17.644
7/5/2021,145613.5,$0.00 ,$25.04 ,10.101
7/28/2021,145808.2,$0.20 ,$41.99 ,16.158
8/13/2021,146098.7,$0.40 ,$41.27 ,16.785
8/29/2021,146269.5,$0.50 ,$28.49 ,13.198
9/6/2021,146478.2,$0.20 ,$38.56 ,14.668
9/15/2021,146705,$0.00 ,$41.31 ,15.42
10/11/2021,147169.1,$0.30 ,$44.14 ,17.049
11/3/2021,147333.9,$0.00 ,$32.99 ,11.301
11/27/2021,147764.8,$0.50 ,$35.41 ,15.141
12/6/2021,148014.8,$0.00 ,$51.47 ,17.514
12/15/2021,148257.9,$0.30 ,$42.01 ,16.879
12/22/2021,148471.8,$0.20 ,$43.16 ,16.05
1/10/2022,148665.4,$0.60 ,$33.28 ,15.065
2/17/2022,149141.8,$0.20 ,$40.00 ,13.338
3/4/2022,149274,$0.20 ,$66.26 ,19.101
3/13/2022,149347.6,$0.10 ,$32.37 ,8.367
4/4/2022,149818.7,$0.30 ,$60.00 ,18.022
4/13/2022,150019.4,$0.20 ,$48.57 ,15.042
4/27/2022,150262.9,$0.30 ,$60.01 ,17.759
5/9/2022,150512.4,$0.20 ,$67.64 ,17.574
5/13/2022,150746,$0.00 ,$66.66 ,16.106
5/19/2022,151041.2,$0.00 ,$80.00 ,18.438
5/27/2022,151319.4,$0.00 ,$75.00 ,17.776
6/3/2022,151603.7,$0.00 ,$80.00 ,17.062
6/9/2022,151781.9,$0.20 ,$30.00 ,6.789
6/10/2022,151839.6,$0.00 ,$52.27 ,11.365
6/15/2022,152082.5,$0.00 ,$76.04 ,15.845
6/20/2022,152377.7,$0.00 ,$50.03 ,10.739
6/20/2022,152405.5,$0.00 ,$49.08 ,10.228
6/25/2022,152581.5,$0.00 ,$40.00 ,8.698
6/29/2022,152816.4,$0.00 ,$80.00 ,17.901
7/8/2022,152988.1,$0.00 ,$45.00 ,11.253
7/12/2022,153166.1,$0.00 ,$44.46 ,11.316
7/22/2022,153405.2,$0.40 ,$51.00 ,16.195
8/11/2022,153827.7,$0.30 ,$40.00 ,12.662
8/15/2022,153938.8,$0.40 ,$34.00 ,12.147
8/26/2022,154200.9,$0.10 ,$60.00 ,18.469
9/2/2022,154425.8,$0.00 ,$47.50 ,14.941
9/6/2022,154600.1,$0.00 ,$38.27 ,12.349
9/16/2022,154817.2,$0.30 ,$40.00 ,13.798
10/1/2022,155036.4,$0.10 ,$47.00 ,16.44
10/7/2022,155261.7,$0.10 ,$45.03 ,14.165
10/19/2022,155490.5,$0.30 ,$20.00 ,7.191
10/22/2022,155609.4,$0.20 ,$47.83 ,17.09
10/28/2022,155714.4,$0.00 ,$22.50 ,7.629
11/17/2022,156121.9,$0.30 ,$33.28 ,13.005
11/29/2022,156304.6,$0.30 ,$31.98 ,13.664
12/19/2022,156731,$0.20 ,$30.00 ,12.879
1/3/2023,156858.5,$0.40 ,$32.29 ,12.921
1/14/2023,157012.2,$0.10 ,$36.00 ,12.504
1/22/2023,157112.9,$0.40 ,$23.48 ,9.036
2/4/2023,157254.7,$0.20 ,$40.11 ,13.837
2/11/2023,157472.6,$0.20 ,$39.01 ,14.561
2/18/2023,157648.7,$0.20 ,$35.02 ,12.738
3/4/2023,157857,$0.20 ,$45.00 ,16.31
3/17/2023,158024.3,$0.30 ,$34.00 ,12.834
4/1/2023,158223.6,$0.30 ,$50.00 ,17.249
4/15/2023,158422.3,$0.30 ,$52.03 ,17.066
4/21/2023,158537.9,$0.00 ,$30.09 ,9.261
4/29/2023,158736.5,$0.00 ,$45.75 ,15.006
6/3/2023,158954.7,$0.80 ,$43.33 ,19.796
6/16/2023,159183.8,$0.10 ,$51.16 ,17.003
7/1/2023,159354.2,$0.40 ,$39.00 ,14.777
7/15/2023,159504.4,$0.10 ,$40.00 ,13.893
7/25/2023,159682.7,$0.30 ,$48.44 ,15.143
8/6/2023,159873,$0.20 ,$50.00 ,15.829
8/15/2023,160062.9,$0.10 ,$50.00 ,15.533
